Query,original_sexp,table_id
hoeveel kinderen waren het 3e kind in het gezin in 1992 in Alkmaar,(VALUE (37201 (MSR A019380 (WHERE (DIM TC 1992JJ00) (DIM GC GM0361))))),37201
hoeveel kinderen waren het derde kind in het gezin in 1992 in Alkmaar?,(VALUE (37201 (MSR A019380 (WHERE (DIM TC 1992JJ00) (DIM GC GM0361))))),37201
aantal kinderen geboren in Alphen-Chaam,(VALUE (37201 (MSR D000128_8 (WHERE (DIM GC GM1723))))),37201
geboortes in Alphen-Chaam,(VALUE (37201 (MSR D000128_8 (WHERE (DIM GC GM1723))))),37201
aantal kinderen geboren in 1992,(VALUE (37201 (MSR D000128_6 (WHERE (DIM TC 1992JJ00))))),37201
aantal geboortes in 1992,(VALUE (37201 (MSR D000128_6 (WHERE (DIM TC 1992JJ00))))),37201
hoeveel geborenen 1992,(VALUE (37201 (MSR D000128_6 (WHERE (DIM TC 1992JJ00))))),37201
kinderen geboren in zeeland 2015,(VALUE (37201 (MSR D000128_6 (WHERE (DIM GC PV29) (DIM TC 2015JJ00))))),37201
hoeveel geboortes in 2015 in zeeland,(VALUE (37201 (MSR D000128_6 (WHERE (DIM GC PV29) (DIM TC 2015JJ00))))),37201
40-jarige moeders op Ameland 2009,(VALUE (37201 (MSR 70900 (WHERE (DIM GC GM0060) (DIM TC 2009JJ00))))),37201
geboren meisjes 2003,(VALUE (37201 (MSR 4000 (WHERE (DIM TC 2003JJ00))))),37201
aantal meisjes geboren in 2003,(VALUE (37201 (MSR 4000 (WHERE (DIM TC 2003JJ00))))),37201
moeders ouder dan 45 in Beek in 2016,(VALUE (37201 (MSR 21100 (WHERE (DIM GC GM0888) (DIM TC 2016JJ00))))),37201
48-jarige moeders in Beek (Limburg) in 2016,(VALUE (37201 (MSR 21100 (WHERE (DIM GC GM0888) (DIM TC 2016JJ00))))),37201
geboorte 4e of meer kind in Flevoland 2016,(VALUE (37201 (MSR A019381 (WHERE (DIM TC 2016JJ00) (DIM GC PV24))))),37201
geboortes vierde kind in het gezin Flevoland 2016,(VALUE (37201 (MSR A019381 (WHERE (DIM TC 2016JJ00) (DIM GC PV24))))),37201
vruchtbaarheidscijfer ameland,(VALUE (37201 (MSR M004931 (WHERE (DIM GC GM0060))))),37201
